instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2020-10-12T23:00:00Z,KOTAKBANK.NS,RELIANCE.NS,ULTRACEMCO.NS,TECHM.NS,HINDALCO.NS,CIPLA.NS,TITAN.NS,ICICIBANK.NS,BAJFINANCE.NS,MARUTI.NS
2016-07-13T23:00:00Z,GRASIM.NS,ICICIBANK.NS,TITAN.NS,MARUTI.NS,TECHM.NS,ONGC.NS,WIPRO.NS,CIPLA.NS,RELIANCE.NS,BRITANNIA.NS
2015-09-28T23:00:00Z,BAJFINANCE.NS,MARUTI.NS,INDUSINDBK.NS,COALINDIA.NS,BRITANNIA.NS,TATASTEEL.NS,HINDALCO.NS,BHARTIARTL.NS,TITAN.NS,SHREECEM.NS
2019-12-19T00:00:00Z,TCS.NS,BHARTIARTL.NS,HEROMOTOCO.NS,RELIANCE.NS,HINDALCO.NS,GRASIM.NS,BAJAJFINSV.NS,INDUSINDBK.NS,ULTRACEMCO.NS,BAJFINANCE.NS
2018-05-29T23:00:00Z,TATACONSUM.NS,COALINDIA.NS,BAJFINANCE.NS,KOTAKBANK.NS,HDFCLIFE.NS,HINDALCO.NS,ICICIBANK.NS,GRASIM.NS,MARUTI.NS,BAJAJ-AUTO.NS
2019-03-05T00:00:00Z,HEROMOTOCO.NS,ONGC.NS,HDFCLIFE.NS,COALINDIA.NS,SHREECEM.NS,WIPRO.NS,TECHM.NS,CIPLA.NS,TCS.NS,BRITANNIA.NS
2018-05-07T23:00:00Z,ICICIBANK.NS,HDFCLIFE.NS,GRASIM.NS,ULTRACEMCO.NS,BHARTIARTL.NS,LT.NS,TATACONSUM.NS,BAJFINANCE.NS,BAJAJFINSV.NS,INDUSINDBK.NS
2018-08-12T23:00:00Z,TECHM.NS,CIPLA.NS,GRASIM.NS,NESTLEIND.NS,BRITANNIA.NS,BAJAJFINSV.NS,ONGC.NS,BAJFINANCE.NS,RELIANCE.NS,TATASTEEL.NS
2017-11-09T00:00:00Z,TATACONSUM.NS,TITAN.NS,BRITANNIA.NS,ICICIBANK.NS,BHARTIARTL.NS,GRASIM.NS,SHREECEM.NS,ITC.NS,COALINDIA.NS,ONGC.NS
2021-04-12T23:00:00Z,BAJAJFINSV.NS,BAJFINANCE.NS,MARUTI.NS,ICICIBANK.NS,ONGC.NS,TCS.NS,TECHM.NS,WIPRO.NS,CIPLA.NS,NESTLEIND.NS
2016-10-06T23:00:00Z,TATASTEEL.NS,BAJAJ-AUTO.NS,GRASIM.NS,ITC.NS,BAJFINANCE.NS,BRITANNIA.NS,CIPLA.NS,TITAN.NS,BHARTIARTL.NS,TCS.NS
2016-01-04T00:00:00Z,WIPRO.NS,TITAN.NS,TATASTEEL.NS,BRITANNIA.NS,TECHM.NS,HINDALCO.NS,BHARTIARTL.NS,INDUSINDBK.NS,KOTAKBANK.NS,GRASIM.NS
2019-09-12T23:00:00Z,TITAN.NS,ICICIBANK.NS,ONGC.NS,KOTAKBANK.NS,HINDALCO.NS,BHARTIARTL.NS,TATACONSUM.NS,ITC.NS,BRITANNIA.NS,GRASIM.NS
2018-12-10T00:00:00Z,COALINDIA.NS,MARUTI.NS,NESTLEIND.NS,CIPLA.NS,HINDALCO.NS,KOTAKBANK.NS,TATACONSUM.NS,ULTRACEMCO.NS,RELIANCE.NS,BAJFINANCE.NS
2017-02-03T00:00:00Z,TECHM.NS,CIPLA.NS,TATACONSUM.NS,SHREECEM.NS,COALINDIA.NS,TITAN.NS,ICICIBANK.NS,BAJAJFINSV.NS,RELIANCE.NS,TATASTEEL.NS
2017-04-06T23:00:00Z,SHREECEM.NS,TCS.NS,BAJAJFINSV.NS,BAJAJ-AUTO.NS,BHARTIARTL.NS,KOTAKBANK.NS,RELIANCE.NS,TATASTEEL.NS,TATACONSUM.NS,ICICIBANK.NS
2017-07-12T23:00:00Z,BAJAJFINSV.NS,ITC.NS,BAJFINANCE.NS,LT.NS,HINDALCO.NS,ONGC.NS,NESTLEIND.NS,NTPC.NS,COALINDIA.NS,WIPRO.NS
2020-01-10T00:00:00Z,TATACONSUM.NS,COALINDIA.NS,SHREECEM.NS,MARUTI.NS,ULTRACEMCO.NS,HDFCLIFE.NS,ICICIBANK.NS,INDUSINDBK.NS,TITAN.NS,WIPRO.NS
2015-09-06T23:00:00Z,TECHM.NS,ONGC.NS,GRASIM.NS,TATACONSUM.NS,MARUTI.NS,BAJAJFINSV.NS,ICICIBANK.NS,BRITANNIA.NS,COALINDIA.NS,INDUSINDBK.NS
2018-03-06T00:00:00Z,ULTRACEMCO.NS,INDUSINDBK.NS,CIPLA.NS,TATASTEEL.NS,COALINDIA.NS,ICICIBANK.NS,TECHM.NS,MARUTI.NS,TCS.NS,BHARTIARTL.NS
2019-05-06T23:00:00Z,NESTLEIND.NS,WIPRO.NS,LT.NS,ONGC.NS,HINDALCO.NS,ICICIBANK.NS,RELIANCE.NS,GRASIM.NS,BHARTIARTL.NS,ITC.NS
2020-11-04T00:00:00Z,INDUSINDBK.NS,RELIANCE.NS,CIPLA.NS,KOTAKBANK.NS,TECHM.NS,HINDALCO.NS,ICICIBANK.NS,COALINDIA.NS,GRASIM.NS,NTPC.NS
2021-02-09T00:00:00Z,HDFCLIFE.NS,ONGC.NS,TITAN.NS,LT.NS,WIPRO.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,ITC.NS,COALINDIA.NS,TCS.NS
2015-05-12T23:00:00Z,SHREECEM.NS,ICICIBANK.NS,INDUSINDBK.NS,LT.NS,RELIANCE.NS,HINDALCO.NS,BHARTIARTL.NS,NTPC.NS,BAJFINANCE.NS,TCS.NS
2016-11-10T00:00:00Z,TATASTEEL.NS,HINDALCO.NS,CIPLA.NS,COALINDIA.NS,ICICIBANK.NS,SHREECEM.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,MARUTI.NS,TCS.NS
2017-10-05T23:00:00Z,TATASTEEL.NS,HINDALCO.NS,BAJFINANCE.NS,NTPC.NS,RELIANCE.NS,HEROMOTOCO.NS,GRASIM.NS,INDUSINDBK.NS,SHREECEM.NS,BRITANNIA.NS
2020-09-10T23:00:00Z,WIPRO.NS,TECHM.NS,TCS.NS,HEROMOTOCO.NS,BRITANNIA.NS,INDUSINDBK.NS,COALINDIA.NS,BHARTIARTL.NS,SHREECEM.NS,NESTLEIND.NS
2017-12-11T00:00:00Z,TATACONSUM.NS,WIPRO.NS,TCS.NS,COALINDIA.NS,ULTRACEMCO.NS,HDFCLIFE.NS,NTPC.NS,ONGC.NS,HINDALCO.NS,RELIANCE.NS
2015-08-05T23:00:00Z,LT.NS,TITAN.NS,KOTAKBANK.NS,TATACONSUM.NS,TCS.NS,NESTLEIND.NS,BAJAJFINSV.NS,TECHM.NS,BAJFINANCE.NS,ITC.NS
